Ticker,Sector,Entry,EntryRaw,Score,Close,MktCap_KRW_T,Avg$Vol,VolRatio,RSI,ATR%,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,RR,EV,Prob,Shares,PosValue,MktPref,P,Promoted
SEE,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,43,41.93,9.0,117590401,0.87,63.0,0.23,트리거: 42.00 상향 돌파(20D High),42.00 돌파+거래량 동반 시,SMA50(41.70) 이탈 또는 Stop 41.73,"20D high 근접, MACD 완만개선, RSI 63",,현재 Vol 0.87x,,,,,-0.22,0.78,,,0,3,False
EOG,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,41,120.73,90.9,594536489,0.91,73.4,2.79,트리거: 118.67 상향 돌파(20D High),118.67 돌파+거래량 동반 시,SMA50(108.49) 이탈 또는 Stop 114.00,"20D high 근접, MACD 완만개선",,현재 Vol 0.91x | ✅ 50~100조 선호,,,,,-0.3,0.7,,,1,3,False
KMI,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,41,32.32,99.3,485017770,0.87,78.3,2.1,트리거: 31.99 상향 돌파(20D High),31.99 돌파+거래량 동반 시,SMA50(28.32) 이탈 또는 Stop 30.97,"20D high 근접, MACD 완만개선",,현재 Vol 0.87x | ✅ 50~100조 선호,,,,,-0.33,0.67,,,1,3,False
ZBH,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,33,96.45,26.5,215156453,0.81,79.7,2.83,트리거: 97.22 상향 돌파(20D High),97.22 돌파+거래량 동반 시,SMA50(90.36) 이탈 또는 Stop 90.99,"20D high 근접, MACD 완만개선",,현재 Vol 0.81x,,,,,-0.32,0.68,,,0,3,False
IR,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,31,98.52,57.0,519739996,1.25,68.5,3.59,트리거: 100.00 상향 돌파(20D High),100.00 돌파+거래량 동반 시,SMA50(85.61) 이탈 또는 Stop 91.44,"Vol 1.2x (약), RSI 68",,현재 Vol 1.25x | ✅ 50~100조 선호,,,,,-0.25,0.75,,,1,3,False
TTC,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,30,100.09,14.3,79723060,0.82,89.2,2.12,트리거: 101.08 상향 돌파(20D High),101.08 돌파+거래량 동반 시,SMA50(84.93) 이탈 또는 Stop 95.84,20D high 근접,,현재 Vol 0.82x,,,,,-0.34,0.66,,,0,3,False
IFF,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,26,83.0,28.8,149836299,2.03,72.8,2.98,트리거: 84.00 상향 돌파(20D High),84.00 돌파+거래량 동반 시,SMA50(69.62) 이탈 또는 Stop 78.05,"Vol 2.0x (강함), MACD 완만개선",,현재 Vol 2.03x,,,,,-0.17,0.83,,,0,3,False
WBD,Communication Services,WATCH_PULLBACK,WATCH_PULLBACK,35,27.99,99.3,644110339,0.57,46.2,1.74,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(28.13) 이탈 또는 Stop 27.02,"MACD 상향크로스, RSI 46",CROSS_UP,RSI 46.2 | ✅ 50~100조 선호,,,,,-0.23,0.77,,,1,4,False
LNC,Financial Services,WATCH_PULLBACK,WATCH_PULLBACK,35,40.88,11.4,79392698,1.28,48.4,3.53,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(42.89) 이탈 또는 Stop 38.00,"Vol 1.3x (약), MACD 상향크로스, RSI 48",CROSS_UP,RSI 48.4,,,,,-0.16,0.84,,,0,4,False
MET,Financial Services,WATCH_PULLBACK,WATCH_PULLBACK,26,77.31,75.2,324425345,0.74,50.4,2.88,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(78.86) 이탈 또는 Stop 72.86,"MACD 완만개선, RSI 50",,RSI 50.4 | ✅ 50~100조 선호,,,,,-0.27,0.73,,,1,4,False
NTR,Basic Materials,WATCH_PULLBACK,WATCH_PULLBACK,26,70.81,50.7,204561037,0.65,51.5,3.01,SMA20(69.81) 눌림 후 반등(확인필요),70.81 재돌파/거래량 동반 확인 후,SMA20(69.81) 이탈 또는 Stop 66.55,"MACD 완만개선, RSI 52",,FILTER: volume too weak (0.65x) | ✅ 50~100조 선호,,,,,-0.27,0.73,,,1,4,False
